name,label
analogy-medieval,analogy-medieval
aquinas,aquinas
aristotle-logic,aristotle-logic
aristotle-politics,aristotle-politics
aristotle-psychology,aristotle-psychology
artifact,artifact
bosanquet,bosanquet
bradley,bradley
category-theory,category-theory
causation-process,causation-process
causation-probabilistic,causation-probabilistic
church-turing,church-turing
cognitive-science,cognitive-science
color,color
connectionism,connectionism
conscience-medieval,conscience-medieval
consciousness-animal,consciousness-animal
cosmology-theology,cosmology-theology
davidson,davidson
descartes-epistemology,descartes-epistemology
dialetheism,dialetheism
illumination,illumination
epiphenomenalism,epiphenomenalism
epistemology-virtue,epistemology-virtue
euthanasia-voluntary,euthanasia-voluntary
existence,existence
feminism-ethics,feminism-ethics
feminism-self,feminism-self
feyerabend,feyerabend
folkpsych-simulation,folkpsych-simulation
folkpsych-theory,folkpsych-theory
frege,frege
frege-logic,frege-logic
game-theory,game-theory
geometry-19th,geometry-19th
godwin,godwin
hegel,hegel
holes,holes
identity-indiscernible,identity-indiscernible
mind-identity,mind-identity
justice-distributive,justice-distributive
justep-foundational,justep-foundational
justification-public,justification-public
kierkegaard,kierkegaard
language-thought,language-thought
leibniz-evil,leibniz-evil
leibniz-mind,leibniz-mind
liberalism,liberalism
logic-infinitary,logic-infinitary
logic-informal,logic-informal
logic-intuitionistic,logic-intuitionistic
logic-modal,logic-modal
logic-paraconsistent,logic-paraconsistent
logic-relevance,logic-relevance
logic-temporal,logic-temporal
logical-construction,logical-construction
logical-form,logical-form
maritain,maritain
mathematics-constructive,mathematics-constructive
mathematics-inconsistent,mathematics-inconsistent
mathphil-indis,mathphil-indis
mental-imagery,mental-imagery
miracles,miracles
modality-medieval,modality-medieval
multiple-realizability,multiple-realizability
neuroscience,neuroscience
nietzsche,nietzsche
olivi,olivi
ontological-arguments,ontological-arguments
original-position,original-position
pantheism,pantheism
paradox-stpetersburg,paradox-stpetersburg
pascal-wager,pascal-wager
peirce-logic,peirce-logic
philip-chancellor,philip-chancellor
physics-experiment,physics-experiment
physics-holism,physics-holism
physics-Rpcc,physics-Rpcc
popper,popper
practical-reason-med,practical-reason-med
principia-mathematica,principia-mathematica
prior,prior
prisoner-dilemma,prisoner-dilemma
private-language,private-language
properties,properties
prop-attitude-reports,prop-attitude-reports
propositions-singular,propositions-singular
propositions-structured,propositions-structured
qualia,qualia
qm-everett,qm-everett
qt-idind,qt-idind
qt-measurement,qt-measurement
rationality-historicist,rationality-historicist
religion-epistemology,religion-epistemology
richard-sophister,richard-sophister
russell,russell
russell-paradox,russell-paradox
sellars,sellars
skepticism-ancient,skepticism-ancient
contractarianism-contemporary,contractarianism-contemporary
sorites-paradox,sorites-paradox
spacetime-convensimul,spacetime-convensimul
spacetime-holearg,spacetime-holearg
spacetime-supertasks,spacetime-supertasks
square,square
stoicism,stoicism
teleology-biology,teleology-biology
thought-experiment,thought-experiment
time-travel-phys,time-travel-phys
tropes,tropes
truth-coherence,truth-coherence
truth-deflationary,truth-deflationary
truth-identity,truth-identity
truth-revision,truth-revision
turing-machine,turing-machine
vagueness,vagueness
war,war
whitehead,whitehead
