name,label
actualism,actualism
albert-saxony,albert-saxony
analogy-medieval,analogy-medieval
anselm,anselm
aquinas,aquinas
aristotle-logic,aristotle-logic
aristotle-metaphysics,aristotle-metaphysics
aristotle-politics,aristotle-politics
aristotle-psychology,aristotle-psychology
artifact,artifact
augustine,augustine
austin-john,austin-john
behaviorism,behaviorism
bosanquet,bosanquet
bradley,bradley
brentano-judgement,brentano-judgement
category-theory,category-theory
causation-process,causation-process
causation-counterfactual,causation-counterfactual
causation-probabilistic,causation-probabilistic
church-turing,church-turing
cognitive-science,cognitive-science
color,color
computing-history,computing-history
connectionism,connectionism
conscience-medieval,conscience-medieval
consciousness-animal,consciousness-animal
consciousness-representational,consciousness-representational
constitutionalism,constitutionalism
contractarianism,contractarianism
cosmology-theology,cosmology-theology
curry-paradox,curry-paradox
dante,dante
davidson,davidson
descartes-epistemology,descartes-epistemology
dialetheism,dialetheism
disjunction,disjunction
illumination,illumination
epiphenomenalism,epiphenomenalism
epistemology-evolutionary,epistemology-evolutionary
epistemology-social,epistemology-social
epistemology-virtue,epistemology-virtue
euthanasia-voluntary,euthanasia-voluntary
existence,existence
feminism-epistemology,feminism-epistemology
feminism-ethics,feminism-ethics
feminism-femhist,feminism-femhist
feminism-self,feminism-self
feyerabend,feyerabend
folkpsych-simulation,folkpsych-simulation
folkpsych-theory,folkpsych-theory
frege,frege
frege-logic,frege-logic
game-theory,game-theory
geometry-19th,geometry-19th
godwin,godwin
hegel,hegel
holes,holes
hume,hume
identity-indiscernible,identity-indiscernible
mind-identity,mind-identity
incompatibilism-theories,incompatibilism-theories
james,james
justice-distributive,justice-distributive
justep-foundational,justep-foundational
justification-public,justification-public
kierkegaard,kierkegaard
knowledge-analysis,knowledge-analysis
language-thought,language-thought
leibniz-evil,leibniz-evil
leibniz-mind,leibniz-mind
liberalism,liberalism
logic-classical,logic-classical
logic-infinitary,logic-infinitary
logic-informal,logic-informal
logic-intuitionistic,logic-intuitionistic
logic-manyvalued,logic-manyvalued
logic-modal,logic-modal
logic-paraconsistent,logic-paraconsistent
logic-relevance,logic-relevance
logic-substructural,logic-substructural
logic-temporal,logic-temporal
logical-construction,logical-construction
logical-form,logical-form
maritain,maritain
mathematics-constructive,mathematics-constructive
mathematics-inconsistent,mathematics-inconsistent
mathphil-indis,mathphil-indis
mental-imagery,mental-imagery
mental-representation,mental-representation
miracles,miracles
modality-medieval,modality-medieval
moral-responsibility,moral-responsibility
multiple-realizability,multiple-realizability
neuroscience,neuroscience
nietzsche,nietzsche
olivi,olivi
ontological-arguments,ontological-arguments
original-position,original-position
pantheism,pantheism
paradox-stpetersburg,paradox-stpetersburg
pascal-wager,pascal-wager
peirce-benjamin,peirce-benjamin
peirce-logic,peirce-logic
philip-chancellor,philip-chancellor
physicalism,physicalism
physics-experiment,physics-experiment
physics-holism,physics-holism
physics-interrelate,physics-interrelate
physics-Rpcc,physics-Rpcc
popper,popper
practical-reason-med,practical-reason-med
principia-mathematica,principia-mathematica
prior,prior
prisoner-dilemma,prisoner-dilemma
private-language,private-language
properties,properties
prop-attitude-reports,prop-attitude-reports
propositions-singular,propositions-singular
propositions-structured,propositions-structured
legal-punishment,legal-punishment
qualia,qualia
qm,qm
qm-everett,qm-everett
kochen-specker,kochen-specker
qt-idind,qt-idind
qt-measurement,qt-measurement
rationality-historicist,rationality-historicist
realism-sem-challenge,realism-sem-challenge
reid,reid
religion-epistemology,religion-epistemology
richard-sophister,richard-sophister
rorty,rorty
russell,russell
russell-paradox,russell-paradox
sellars,sellars
skepticism-ancient,skepticism-ancient
contractarianism-contemporary,contractarianism-contemporary
sorites-paradox,sorites-paradox
spacetime-convensimul,spacetime-convensimul
spacetime-holearg,spacetime-holearg
spacetime-supertasks,spacetime-supertasks
square,square
stoicism,stoicism
teleology-biology,teleology-biology
thought-experiment,thought-experiment
time-experience,time-experience
time-travel-phys,time-travel-phys
tropes,tropes
truth-coherence,truth-coherence
truth-deflationary,truth-deflationary
truth-identity,truth-identity
truth-revision,truth-revision
turing-machine,turing-machine
universals-medieval,universals-medieval
vagueness,vagueness
war,war
whewell,whewell
whitehead,whitehead
