name,label
aristotle-politics,aristotle-politics
artifact,artifact
bosanquet,bosanquet
bradley,bradley
category-theory,category-theory
causation-process,causation-process
causation-probabilistic,causation-probabilistic
church-turing,church-turing
cognitive-science,cognitive-science
color,color
connectionism,connectionism
conscience-medieval,conscience-medieval
consciousness-animal,consciousness-animal
cosmology-theology,cosmology-theology
davidson,davidson
descartes-epistemology,descartes-epistemology
dialetheism,dialetheism
epiphenomenalism,epiphenomenalism
euthanasia-voluntary,euthanasia-voluntary
existence,existence
feminism-ethics,feminism-ethics
feyerabend,feyerabend
folkpsych-simulation,folkpsych-simulation
folkpsych-theory,folkpsych-theory
frege,frege
frege-logic,frege-logic
game-theory,game-theory
hegel,hegel
holes,holes
identity-indiscernible,identity-indiscernible
justice-distributive,justice-distributive
justification-public,justification-public
kierkegaard,kierkegaard
language-thought,language-thought
leibniz-evil,leibniz-evil
leibniz-mind,leibniz-mind
liberalism,liberalism
logic-informal,logic-informal
logic-paraconsistent,logic-paraconsistent
logic-relevance,logic-relevance
logical-construction,logical-construction
maritain,maritain
mathematics-constructive,mathematics-constructive
mathematics-inconsistent,mathematics-inconsistent
mathphil-indis,mathphil-indis
mental-imagery,mental-imagery
miracles,miracles
multiple-realizability,multiple-realizability
neuroscience,neuroscience
nietzsche,nietzsche
ontological-arguments,ontological-arguments
original-position,original-position
pantheism,pantheism
paradox-stpetersburg,paradox-stpetersburg
pascal-wager,pascal-wager
peirce-logic,peirce-logic
philip-chancellor,philip-chancellor
physics-experiment,physics-experiment
popper,popper
principia-mathematica,principia-mathematica
prior,prior
prisoner-dilemma,prisoner-dilemma
private-language,private-language
propositions-singular,propositions-singular
propositions-structured,propositions-structured
qualia,qualia
qm-everett,qm-everett
rationality-historicist,rationality-historicist
religion-epistemology,religion-epistemology
russell,russell
russell-paradox,russell-paradox
sellars,sellars
skepticism-ancient,skepticism-ancient
contractarianism-contemporary,contractarianism-contemporary
sorites-paradox,sorites-paradox
spacetime-convensimul,spacetime-convensimul
spacetime-holearg,spacetime-holearg
square,square
stoicism,stoicism
teleology-biology,teleology-biology
thought-experiment,thought-experiment
tropes,tropes
truth-coherence,truth-coherence
truth-deflationary,truth-deflationary
truth-identity,truth-identity
truth-revision,truth-revision
turing-machine,turing-machine
vagueness,vagueness
whitehead,whitehead
