name,label
abstract-objects,abstract-objects
actualism,actualism
albert-saxony,albert-saxony
alyngton,alyngton
analogy-medieval,analogy-medieval
anselm,anselm
aquinas,aquinas
aristotle-ethics,aristotle-ethics
aristotle-logic,aristotle-logic
aristotle-metaphysics,aristotle-metaphysics
aristotle-politics,aristotle-politics
aristotle-psychology,aristotle-psychology
artifact,artifact
augustine,augustine
austin-john,austin-john
behaviorism,behaviorism
bosanquet,bosanquet
bradley,bradley
brentano-judgement,brentano-judgement
cambridge-platonists,cambridge-platonists
category-theory,category-theory
causation-backwards,causation-backwards
causation-process,causation-process
causation-counterfactual,causation-counterfactual
causation-mani,causation-mani
causation-medieval,causation-medieval
causation-probabilistic,causation-probabilistic
causation-law,causation-law
church-turing,church-turing
cognitive-science,cognitive-science
color,color
common-knowledge,common-knowledge
communitarianism,communitarianism
comparphil-chiwes,comparphil-chiwes
ethics-computer,ethics-computer
computing-history,computing-history
conditionals,conditionals
connectionism,connectionism
conscience-medieval,conscience-medieval
consciousness-animal,consciousness-animal
consciousness-higher,consciousness-higher
consciousness-representational,consciousness-representational
consciousness-unity,consciousness-unity
constitutionalism,constitutionalism
contractarianism,contractarianism
cosmology-theology,cosmology-theology
curry-paradox,curry-paradox
dante,dante
davidson,davidson
descartes-epistemology,descartes-epistemology
descartes-works,descartes-works
descartes-ontological,descartes-ontological
desgabets,desgabets
diagrams,diagrams
dialetheism,dialetheism
disjunction,disjunction
illumination,illumination
duns-scotus,duns-scotus
epiphenomenalism,epiphenomenalism
epistemology-bayesian,epistemology-bayesian
epistemology-evolutionary,epistemology-evolutionary
epistemology-naturalized,epistemology-naturalized
epistemology-social,epistemology-social
epistemology-virtue,epistemology-virtue
equality,equality
equivME,equivME
euthanasia-voluntary,euthanasia-voluntary
existence,existence
exploitation,exploitation
feminism-epistemology,feminism-epistemology
feminism-ethics,feminism-ethics
feminism-femhist,feminism-femhist
feminism-self,feminism-self
feyerabend,feyerabend
johann-fichte,johann-fichte
folkpsych-simulation,folkpsych-simulation
folkpsych-theory,folkpsych-theory
francis-marchia,francis-marchia
frege,frege
frege-logic,frege-logic
game-theory,game-theory
genrel-early,genrel-early
geometry-19th,geometry-19th
gersonides,gersonides
giles,giles
godfrey,godfrey
godwin,godwin
gregory-rimini,gregory-rimini
hartshorne,hartshorne
hegel,hegel
herder,herder
holes,holes
holkot,holkot
hume,hume
identity-indiscernible,identity-indiscernible
mind-identity,mind-identity
incompatibilism-theories,incompatibilism-theories
indexicals,indexicals
insolubles,insolubles
integrity,integrity
friedrich-jacobi,friedrich-jacobi
james,james
justice-distributive,justice-distributive
justep-foundational,justep-foundational
justification-public,justification-public
kierkegaard,kierkegaard
kilvington,kilvington
knowledge-analysis,knowledge-analysis
language-thought,language-thought
laozi,laozi
law-ideology,law-ideology
legal-econanalysis,legal-econanalysis
legal-reas-interpret,legal-reas-interpret
legal-rights,legal-rights
legrand,legrand
leibniz-evil,leibniz-evil
leibniz-mind,leibniz-mind
liberalism,liberalism
locke,locke
logic-classical,logic-classical
logic-games,logic-games
logic-infinitary,logic-infinitary
logic-informal,logic-informal
logic-intuitionistic,logic-intuitionistic
logic-manyvalued,logic-manyvalued
logic-modal,logic-modal
logic-nonmonotonic,logic-nonmonotonic
logic-paraconsistent,logic-paraconsistent
logic-relevance,logic-relevance
logic-substructural,logic-substructural
logic-temporal,logic-temporal
logical-construction,logical-construction
logical-form,logical-form
maritain,maritain
marsilius-inghen,marsilius-inghen
mathematics-constructive,mathematics-constructive
mathematics-inconsistent,mathematics-inconsistent
mathphil-indis,mathphil-indis
mental-illness,mental-illness
mental-imagery,mental-imagery
mental-representation,mental-representation
miracles,miracles
modality-medieval,modality-medieval
model-theory,model-theory
modeltheory-fo,modeltheory-fo
moral-particularism,moral-particularism
moral-responsibility,moral-responsibility
multiple-realizability,multiple-realizability
nationalism,nationalism
lawphil-nature,lawphil-nature
neuroscience,neuroscience
autrecourt,autrecourt
nietzsche,nietzsche
olivi,olivi
ontological-arguments,ontological-arguments
original-position,original-position
panpsychism,panpsychism
pantheism,pantheism
paradox-stpetersburg,paradox-stpetersburg
pascal-wager,pascal-wager
paul-venice,paul-venice
peirce-benjamin,peirce-benjamin
peirce,peirce
peirce-logic,peirce-logic
penbygull,penbygull
perception-episprob,perception-episprob
peter-spain,peter-spain
philip-chancellor,philip-chancellor
physicalism,physicalism
physics-experiment,physics-experiment
physics-holism,physics-holism
physics-interrelate,physics-interrelate
physics-Rpcc,physics-Rpcc
popper,popper
practical-reason-med,practical-reason-med
principia-mathematica,principia-mathematica
prior,prior
prisoner-dilemma,prisoner-dilemma
private-language,private-language
properties,properties
prop-attitude-reports,prop-attitude-reports
propositions-singular,propositions-singular
propositions-structured,propositions-structured
providence-divine,providence-divine
legal-punishment,legal-punishment
qualia,qualia
qm,qm
qm-bohm,qm-bohm
qm-everett,qm-everett
kochen-specker,kochen-specker
qt-idind,qt-idind
qt-measurement,qt-measurement
qt-entangle,qt-entangle
rationality-historicist,rationality-historicist
realism-sem-challenge,realism-sem-challenge
reasoning-automated,reasoning-automated
reid,reid
relations-medieval,relations-medieval
religion-epistemology,religion-epistemology
replication,replication
richard-sophister,richard-sophister
rorty,rorty
russell,russell
russell-paradox,russell-paradox
schelling,schelling
scottish-18th,scottish-18th
sellars,sellars
sharpe,sharpe
skepticism,skepticism
skepticism-ancient,skepticism-ancient
contractarianism-contemporary,contractarianism-contemporary
sophismata,sophismata
sorites-paradox,sorites-paradox
spacetime-bebecome,spacetime-bebecome
spacetime-convensimul,spacetime-convensimul
spacetime-holearg,spacetime-holearg
spacetime-supertasks,spacetime-supertasks
spinoza,spinoza
spinoza-psychological,spinoza-psychological
square,square
statphys-statmech,statphys-statmech
stoicism,stoicism
tarski-truth,tarski-truth
